,Ship Mode,Segment,City,Country,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
4499,Standard Class,Consumer,Bangkok,Thailand,Office Supplies,Art,entre 5 y 6,0.47,Medium,August,31.776872727272725
4500,Standard Class,Corporate,Riyadh,Saudi Arabia,Office Supplies,Binders,entre 7 y 8,0.0,Low,June,18.112000000000002
4501,First Class,Consumer,Jakarta,Indonesia,Office Supplies,Supplies,entre 3 y 4,0.47,High,March,14.482628571428572
4502,Standard Class,Corporate,San Salvador,El Salvador,Office Supplies,Storage,entre 1 y 2,0.0,Low,November,43.46666666666667
4503,First Class,Consumer,San Pedro Sula,Honduras,Office Supplies,Binders,entre 3 y 4,0.4,High,September,17.516571428571428
4504,Standard Class,Corporate,San Pedro Sula,Honduras,Office Supplies,Binders,entre 5 y 6,0.4,Medium,November,18.70909090909091
4505,First Class,Consumer,Bangkok,Thailand,Office Supplies,Supplies,entre 3 y 4,0.47,Medium,March,13.410514285714285
4506,Standard Class,Home Office,Paris,France,Office Supplies,Supplies,entre 3 y 4,0.0,High,June,21.625714285714285
4507,Second Class,Corporate,Sydney,Australia,Office Supplies,Paper,entre 1 y 2,0.1,Critical,September,16.758
4508,Standard Class,Corporate,Mexico City,Mexico,Office Supplies,Fasteners,entre 9 y 10,0.0,High,December,8.84842105263158
4509,Standard Class,Corporate,Managua,Nicaragua,Technology,Copiers,entre 1 y 2,0.002,Medium,November,129.26095999999998
4510,Standard Class,Consumer,Vienna,Austria,Office Supplies,Storage,entre 1 y 2,0.0,High,January,64.67999999999999
4511,Standard Class,Home Office,Cairo,Egypt,Furniture,Furnishings,entre 1 y 2,0.0,Medium,December,77.56
4512,Standard Class,Consumer,Singapore,Singapore,Office Supplies,Binders,entre 3 y 4,0.0,Medium,August,25.277142857142856
4513,First Class,Corporate,Lagos,Nigeria,Technology,Phones,entre 1 y 2,0.7,Medium,November,35.244
4514,Second Class,Corporate,Vienna,Austria,Office Supplies,Envelopes,entre 3 y 4,0.0,High,November,19.62
4515,Standard Class,Consumer,London,United Kingdom,Office Supplies,Binders,entre 5 y 6,0.1,Low,May,22.36090909090909
4516,Standard Class,Home Office,Istanbul,Turkey,Furniture,Chairs,entre 1 y 2,0.6,Medium,September,91.472
4517,Standard Class,Consumer,Surabaya,Indonesia,Technology,Accessories,entre 1 y 2,0.47,Medium,December,91.35079999999999
4518,Standard Class,Home Office,Casablanca,Morocco,Office Supplies,Binders,entre 1 y 2,0.0,Low,June,40.160000000000004
4519,Second Class,Consumer,Rome,Italy,Office Supplies,Art,entre 5 y 6,0.0,High,July,48.81818181818182
4520,Same Day,Consumer,Paris,France,Office Supplies,Storage,entre 1 y 2,0.1,High,July,30.563999999999997
4521,Second Class,Consumer,Yangon,Myanmar (Burma),Technology,Phones,entre 1 y 2,0.17,High,July,36.1216
4522,Second Class,Consumer,Santo Domingo,Dominican Republic,Technology,Copiers,entre 1 y 2,0.202,High,September,42.43232
4523,Standard Class,Consumer,Managua,Nicaragua,Office Supplies,Supplies,entre 3 y 4,0.0,High,May,15.617142857142856
4524,Second Class,Consumer,Vienna,Austria,Office Supplies,Supplies,entre 1 y 2,0.0,High,June,33.64
4525,First Class,Consumer,Jakarta,Indonesia,Office Supplies,Supplies,entre 5 y 6,0.47,Medium,December,14.587527272727272
4526,First Class,Corporate,San Salvador,El Salvador,Technology,Accessories,entre 3 y 4,0.0,High,December,24.582857142857144
4527,Standard Class,Corporate,Soyapango,El Salvador,Furniture,Furnishings,entre 3 y 4,0.0,Medium,April,37.279999999999994
4528,Standard Class,Consumer,Stockholm,Sweden,Technology,Machines,entre 1 y 2,0.5,Medium,December,57.41
4529,Second Class,Consumer,Riyadh,Saudi Arabia,Office Supplies,Fasteners,entre 1 y 2,0.0,Critical,August,22.12
4530,Standard Class,Consumer,San Miguelito,Panama,Technology,Accessories,entre 5 y 6,0.4,Medium,April,14.727272727272727
4531,Same Day,Consumer,Buenos Aires,Argentina,Office Supplies,Paper,entre 3 y 4,0.4,High,August,10.697142857142856
4532,Standard Class,Home Office,Melbourne,Australia,Office Supplies,Supplies,entre 1 y 2,0.1,Medium,June,59.112
4533,Standard Class,Consumer,Ho Chi Minh City,Vietnam,Office Supplies,Storage,entre 3 y 4,0.17,Medium,December,22.737257142857143
4534,Standard Class,Consumer,Manila,Philippines,Office Supplies,Storage,entre 1 y 2,0.45,Medium,June,77.59400000000001
4535,Second Class,Consumer,Managua,Nicaragua,Office Supplies,Storage,entre 7 y 8,0.0,Medium,May,10.864
4536,First Class,Corporate,Berlin,Germany,Office Supplies,Binders,entre 1 y 2,0.1,High,November,60.66
4537,First Class,Corporate,Manila,Philippines,Technology,Accessories,entre 1 y 2,0.45,High,January,75.966
4538,Standard Class,Home Office,Riyadh,Saudi Arabia,Office Supplies,Art,entre 1 y 2,0.0,High,March,33.82
4539,Second Class,Corporate,Baghdad,Iraq,Furniture,Chairs,entre 1 y 2,0.0,Medium,June,39.88
4540,Standard Class,Consumer,Managua,Nicaragua,Office Supplies,Paper,entre 3 y 4,0.0,High,May,17.82857142857143
4541,First Class,Consumer,Tegucigalpa,Honduras,Furniture,Furnishings,entre 5 y 6,0.4,High,October,6.381818181818182
4542,Standard Class,Corporate,Berlin,Germany,Technology,Accessories,entre 3 y 4,0.1,Medium,June,32.238
4543,First Class,Consumer,São Paulo,Brazil,Furniture,Bookcases,entre 3 y 4,0.0,Medium,May,129.78285714285715
4544,Same Day,Home Office,Bangkok,Thailand,Office Supplies,Storage,entre 11 y 12,0.47,High,February,5.44471304347826
4545,Same Day,Consumer,Buenos Aires,Argentina,Office Supplies,Envelopes,entre 1 y 2,0.4,High,October,21.008
4546,First Class,Consumer,Tegucigalpa,Honduras,Office Supplies,Binders,entre 3 y 4,0.4,Critical,October,23.355428571428572
4547,First Class,Consumer,Ho Chi Minh City,Vietnam,Office Supplies,Paper,entre 3 y 4,0.17,Medium,December,18.76037142857143
4548,Second Class,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Binders,entre 13 y14,0.2,High,September,6.122666666666667
4549,Same Day,Consumer,Jakarta,Indonesia,Office Supplies,Fasteners,entre 5 y 6,0.47,Critical,January,5.232545454545455
4550,Same Day,Corporate,Jakarta,Indonesia,Technology,Copiers,entre 1 y 2,0.07,High,November,178.9692
4551,Standard Class,Corporate,Sydney,Australia,Furniture,Chairs,entre 1 y 2,0.1,Medium,September,62.028
4552,Standard Class,Consumer,Baghdad,Iraq,Office Supplies,Art,entre 3 y 4,0.0,High,September,19.44
4553,Second Class,Consumer,Surabaya,Indonesia,Technology,Accessories,entre 3 y 4,0.47,High,July,31.413857142857143
4554,Standard Class,Consumer,Yangon,Myanmar (Burma),Technology,Accessories,entre 5 y 6,0.47,Medium,August,26.139599999999998
4555,Second Class,Corporate,Singapore,Singapore,Office Supplies,Supplies,entre 1 y 2,0.0,Critical,March,20.56
4556,Standard Class,Consumer,Paris,France,Office Supplies,Supplies,entre 3 y 4,0.0,High,October,26.982857142857142
4557,First Class,Corporate,Istanbul,Turkey,Office Supplies,Art,entre 1 y 2,0.6,Critical,June,13.528
4558,Standard Class,Consumer,Mexico City,Mexico,Office Supplies,Supplies,entre 5 y 6,0.0,High,November,16.400000000000002
4559,Standard Class,Home Office,Managua,Nicaragua,Technology,Accessories,entre 3 y 4,0.0,Medium,October,30.377142857142854
4560,First Class,Corporate,Buenos Aires,Argentina,Office Supplies,Art,entre 3 y 4,0.4,Critical,September,7.981714285714285
4561,Standard Class,Corporate,Berlin,Germany,Office Supplies,Appliances,entre 1 y 2,0.2,Medium,April,66.784
4562,Standard Class,Corporate,London,United Kingdom,Furniture,Furnishings,entre 3 y 4,0.4,Medium,September,25.904571428571426
4563,First Class,Consumer,Jakarta,Indonesia,Office Supplies,Labels,entre 5 y 6,0.47,High,March,6.172090909090909
4564,First Class,Home Office,Lagos,Nigeria,Office Supplies,Appliances,entre 1 y 2,0.7,High,November,18.198
4565,Standard Class,Consumer,São Paulo,Brazil,Furniture,Furnishings,entre 5 y 6,0.0,Medium,December,27.327272727272728
4566,Standard Class,Corporate,Stockholm,Sweden,Furniture,Furnishings,entre 5 y 6,0.6,Medium,March,21.152727272727272
4567,Standard Class,Consumer,London,United Kingdom,Technology,Machines,entre 3 y 4,0.1,Medium,July,90.28028571428571
4568,Standard Class,Consumer,Bangkok,Thailand,Technology,Phones,entre 1 y 2,0.17,Medium,December,82.336
4569,Second Class,Consumer,Manila,Philippines,Technology,Accessories,entre 3 y 4,0.45,High,November,18.739285714285717
4570,Standard Class,Consumer,Alexandria,Egypt,Office Supplies,Storage,entre 1 y 2,0.0,Medium,May,71.04
4571,Standard Class,Corporate,Madrid,Spain,Office Supplies,Storage,entre 1 y 2,0.1,Medium,December,58.13999999999999
4572,Standard Class,Consumer,Berlin,Germany,Furniture,Chairs,entre 1 y 2,0.2,Low,January,45.568000000000005
4573,Standard Class,Consumer,Surabaya,Indonesia,Office Supplies,Envelopes,entre 1 y 2,0.47,Low,August,36.2944
4574,Standard Class,Corporate,Alexandria,Egypt,Office Supplies,Storage,entre 3 y 4,0.0,High,February,19.954285714285714
4575,Standard Class,Consumer,San Salvador,El Salvador,Furniture,Chairs,entre 1 y 2,0.0,Medium,May,64.0
4576,Standard Class,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Storage,entre 3 y 4,0.2,Medium,November,29.25714285714286
4577,Standard Class,Home Office,Sydney,Australia,Office Supplies,Art,entre 5 y 6,0.1,Medium,December,21.796363636363637
4578,Standard Class,Corporate,Cairo,Egypt,Furniture,Chairs,entre 1 y 2,0.0,Medium,October,111.56
4579,Standard Class,Consumer,Lagos,Nigeria,Office Supplies,Fasteners,entre 13 y14,0.7,Medium,October,6.02
4580,Standard Class,Corporate,Stockholm,Sweden,Office Supplies,Envelopes,entre 5 y 6,0.5,Medium,November,15.75
4581,Standard Class,Consumer,Vienna,Austria,Office Supplies,Paper,entre 3 y 4,0.0,Medium,April,23.785714285714285
4582,First Class,Home Office,Mixco,Guatemala,Office Supplies,Appliances,entre 5 y 6,0.0,Medium,September,41.690909090909095
4583,Standard Class,Corporate,Mixco,Guatemala,Office Supplies,Art,entre 3 y 4,0.0,Medium,November,29.34857142857143
4584,Standard Class,Corporate,Jakarta,Indonesia,Office Supplies,Fasteners,entre 5 y 6,0.47,High,April,10.8756
4585,Standard Class,Home Office,Istanbul,Turkey,Office Supplies,Supplies,entre 5 y 6,0.6,Medium,November,19.073454545454545
4586,Same Day,Home Office,Tegucigalpa,Honduras,Office Supplies,Paper,entre 7 y 8,0.4,High,September,5.0288
4587,First Class,Consumer,Panama City,Panama,Technology,Accessories,entre 1 y 2,0.4,Critical,April,21.2
4588,Second Class,Home Office,Manila,Philippines,Office Supplies,Binders,entre 1 y 2,0.15,High,December,27.676000000000002
4589,Standard Class,Consumer,Manila,Philippines,Office Supplies,Storage,entre 1 y 2,0.45,Medium,July,40.436
4590,Standard Class,Corporate,Singapore,Singapore,Office Supplies,Supplies,entre 3 y 4,0.0,Medium,September,47.65714285714286
4591,Standard Class,Consumer,Santo Domingo,Dominican Republic,Furniture,Chairs,entre 3 y 4,0.2,Medium,November,26.893714285714285
4592,Standard Class,Corporate,San Salvador,El Salvador,Office Supplies,Art,entre 1 y 2,0.0,High,November,50.50666666666667
4593,Second Class,Home Office,Manila,Philippines,Office Supplies,Binders,entre 5 y 6,0.15,Medium,February,22.78772727272727
4594,Standard Class,Home Office,Santo Domingo,Dominican Republic,Office Supplies,Paper,entre 5 y 6,0.2,High,October,12.741818181818182
4595,First Class,Consumer,Madrid,Spain,Office Supplies,Envelopes,entre 1 y 2,0.0,Medium,March,62.56
4596,First Class,Consumer,Lagos,Nigeria,Technology,Copiers,entre 1 y 2,0.7,Medium,June,26.028000000000002
4597,Standard Class,Consumer,Riyadh,Saudi Arabia,Office Supplies,Art,entre 3 y 4,0.0,Medium,April,27.84
4598,Second Class,Home Office,Berlin,Germany,Office Supplies,Envelopes,entre 3 y 4,0.1,Medium,June,38.04685714285714
4599,Standard Class,Home Office,Bangkok,Thailand,Office Supplies,Binders,entre 3 y 4,0.17,Medium,February,36.19748571428571
4600,Standard Class,Consumer,Melbourne,Australia,Furniture,Bookcases,entre 1 y 2,0.1,Medium,May,89.19
4601,Standard Class,Home Office,Cairo,Egypt,Office Supplies,Binders,entre 1 y 2,0.0,Medium,October,68.36
4602,Standard Class,Corporate,Lagos,Nigeria,Furniture,Bookcases,entre 1 y 2,0.7,Medium,December,78.48
4603,First Class,Consumer,Kinshasa,Democratic Republic of the Congo,Office Supplies,Binders,entre 3 y 4,0.0,High,September,14.365714285714287
4604,Standard Class,Consumer,Sydney,Australia,Office Supplies,Art,entre 5 y 6,0.1,Medium,March,21.575454545454548
4605,First Class,Corporate,Manila,Philippines,Furniture,Chairs,entre 1 y 2,0.25,Medium,November,59.19
4606,Second Class,Corporate,Ho Chi Minh City,Vietnam,Office Supplies,Supplies,entre 7 y 8,0.17,High,December,12.00512
4607,First Class,Corporate,Istanbul,Turkey,Office Supplies,Binders,entre 1 y 2,0.6,High,August,26.736
4608,Standard Class,Consumer,Buenos Aires,Argentina,Office Supplies,Supplies,entre 5 y 6,0.4,Low,June,15.054545454545455
4609,Standard Class,Consumer,San Pedro Sula,Honduras,Office Supplies,Supplies,entre 7 y 8,0.4,Low,October,15.2432
4610,Standard Class,Consumer,Sydney,Australia,Furniture,Furnishings,entre 5 y 6,0.1,Medium,April,15.463636363636363
4611,Standard Class,Consumer,Baghdad,Iraq,Office Supplies,Binders,entre 3 y 4,0.0,Medium,August,57.66857142857143
4612,First Class,Consumer,Buenos Aires,Argentina,Office Supplies,Fasteners,entre 7 y 8,0.4,High,September,5.964799999999999
4613,Standard Class,Consumer,Mixco,Guatemala,Office Supplies,Art,entre 3 y 4,0.0,Medium,July,29.622857142857146
4614,Standard Class,Corporate,Surabaya,Indonesia,Furniture,Chairs,entre 5 y 6,0.27,Medium,April,55.40301818181819
4615,Standard Class,Corporate,San Miguelito,Panama,Furniture,Furnishings,entre 3 y 4,0.4,High,October,15.06857142857143
4616,Standard Class,Home Office,Tegucigalpa,Honduras,Technology,Accessories,entre 5 y 6,0.4,Medium,October,26.421818181818182
4617,Second Class,Home Office,Bangkok,Thailand,Office Supplies,Appliances,entre 1 y 2,0.17,Medium,November,92.3624
4618,First Class,Home Office,Surabaya,Indonesia,Furniture,Furnishings,entre 3 y 4,0.27,Medium,November,68.75974285714285
4619,Standard Class,Home Office,San Salvador,El Salvador,Furniture,Furnishings,entre 3 y 4,0.0,Medium,May,24.291428571428572
4620,First Class,Corporate,Paris,France,Office Supplies,Paper,entre 1 y 2,0.0,High,September,23.84
4621,Standard Class,Consumer,Gold Coast,Australia,Office Supplies,Binders,entre 1 y 2,0.1,High,June,35.244
4622,Same Day,Home Office,Bangkok,Thailand,Office Supplies,Supplies,entre 3 y 4,0.47,High,August,20.988
4623,Second Class,Consumer,Ho Chi Minh City,Vietnam,Office Supplies,Labels,entre 5 y 6,0.17,High,May,9.235636363636363
4624,Standard Class,Home Office,Lahore,Pakistan,Technology,Phones,entre 1 y 2,0.5,High,January,49.66
4625,Standard Class,Corporate,Baghdad,Iraq,Furniture,Bookcases,entre 1 y 2,0.0,Medium,August,94.60000000000001
4626,Standard Class,Corporate,León,Nicaragua,Office Supplies,Supplies,entre 3 y 4,0.0,Medium,November,32.8
4627,Standard Class,Consumer,Mexico City,Mexico,Office Supplies,Supplies,entre 5 y 6,0.0,Medium,June,26.236363636363638
4628,Standard Class,Corporate,Brisbane,Australia,Office Supplies,Art,entre 3 y 4,0.1,Medium,September,20.76685714285714
4629,First Class,Corporate,Vienna,Austria,Technology,Accessories,entre 1 y 2,0.0,Medium,December,76.67999999999999
4630,Standard Class,Corporate,Panama City,Panama,Furniture,Bookcases,entre 3 y 4,0.4,Medium,April,67.57714285714286
4631,First Class,Consumer,Jakarta,Indonesia,Office Supplies,Binders,entre 3 y 4,0.17,High,March,12.606514285714285
4632,Standard Class,Corporate,Singapore,Singapore,Office Supplies,Paper,entre 7 y 8,0.0,Medium,December,26.488
4633,Standard Class,Consumer,Manila,Philippines,Office Supplies,Labels,entre 9 y 10,0.45,High,November,6.377684210526316
4634,Standard Class,Corporate,Jakarta,Indonesia,Office Supplies,Paper,entre 7 y 8,0.47,Medium,December,15.78976
4635,Standard Class,Home Office,Manila,Philippines,Office Supplies,Supplies,entre 5 y 6,0.45,Medium,May,20.79
4636,Second Class,Home Office,Gold Coast,Australia,Office Supplies,Storage,entre 5 y 6,0.4,High,October,11.114181818181818
4637,Second Class,Consumer,Istanbul,Turkey,Furniture,Tables,entre 1 y 2,0.6,Medium,March,67.592
4638,First Class,Corporate,San Salvador,El Salvador,Office Supplies,Supplies,entre 3 y 4,0.0,Medium,December,15.120000000000001
4639,First Class,Corporate,Jakarta,Indonesia,Office Supplies,Supplies,entre 3 y 4,0.47,High,August,16.13622857142857
4640,Standard Class,Corporate,Yangon,Myanmar (Burma),Office Supplies,Art,entre 3 y 4,0.17,Medium,January,34.618114285714285
4641,Standard Class,Consumer,Ho Chi Minh City,Vietnam,Office Supplies,Storage,entre 1 y 2,0.17,High,December,27.058000000000003
4642,Standard Class,Consumer,Stockholm,Sweden,Furniture,Chairs,entre 5 y 6,0.5,Medium,December,26.33181818181818
4643,Same Day,Corporate,London,United Kingdom,Technology,Phones,entre 3 y 4,0.1,Medium,December,52.55742857142857
4644,Standard Class,Consumer,Baghdad,Iraq,Office Supplies,Art,entre 3 y 4,0.0,Medium,March,27.53142857142857
4645,Standard Class,Corporate,Manila,Philippines,Furniture,Chairs,entre 5 y 6,0.25,Medium,October,39.497727272727275
4646,Standard Class,Consumer,Baghdad,Iraq,Office Supplies,Art,entre 7 y 8,0.0,Medium,March,19.072
4647,Standard Class,Consumer,London,United Kingdom,Office Supplies,Binders,entre 3 y 4,0.1,Medium,November,24.647142857142857
4648,Standard Class,Consumer,Jakarta,Indonesia,Technology,Phones,entre 3 y 4,0.17,Medium,May,51.969857142857144
4649,Second Class,Consumer,Lahore,Pakistan,Office Supplies,Appliances,entre 1 y 2,0.5,High,August,45.86000000000001
4650,Standard Class,Consumer,Melbourne,Australia,Office Supplies,Labels,entre 7 y 8,0.1,High,September,9.021600000000001
4651,Standard Class,Home Office,Cairo,Egypt,Office Supplies,Binders,entre 5 y 6,0.0,Medium,September,16.92
4652,Second Class,Corporate,Santo Domingo,Dominican Republic,Office Supplies,Paper,entre 7 y 8,0.2,Medium,October,15.5456
4653,Second Class,Consumer,Lagos,Nigeria,Office Supplies,Paper,entre 5 y 6,0.7,High,September,15.81709090909091
4654,Second Class,Consumer,San Salvador,El Salvador,Office Supplies,Labels,entre 5 y 6,0.0,Critical,October,6.4
4655,Standard Class,Consumer,Bangkok,Thailand,Office Supplies,Binders,entre 5 y 6,0.17,Medium,August,21.300818181818183
4656,Second Class,Consumer,Soyapango,El Salvador,Office Supplies,Art,entre 3 y 4,0.0,High,May,12.845714285714285
4657,Standard Class,Consumer,San Salvador,El Salvador,Office Supplies,Binders,entre 3 y 4,0.0,Medium,June,29.58857142857143
4658,Standard Class,Home Office,San Salvador,El Salvador,Technology,Phones,entre 5 y 6,0.0,Medium,September,39.47272727272727
4659,First Class,Corporate,Yangon,Myanmar (Burma),Office Supplies,Labels,entre 7 y 8,0.17,Medium,October,8.50584
4660,First Class,Consumer,Santo Domingo,Dominican Republic,Furniture,Furnishings,entre 7 y 8,0.5,Medium,January,36.18533333333333
4661,Standard Class,Corporate,Tegucigalpa,Honduras,Office Supplies,Supplies,entre 5 y 6,0.4,Medium,November,16.232727272727274
4662,Standard Class,Home Office,Santo Domingo,Dominican Republic,Furniture,Furnishings,entre 3 y 4,0.5,Low,October,15.299999999999999
4663,First Class,Corporate,Paris,France,Office Supplies,Binders,entre 5 y 6,0.0,High,November,11.236363636363636
4664,Second Class,Consumer,Adelaide,Australia,Office Supplies,Labels,entre 7 y 8,0.1,High,May,6.3936
4665,Standard Class,Home Office,Canberra,Australia,Furniture,Furnishings,entre 5 y 6,0.4,Medium,May,34.717090909090906
4666,Second Class,Consumer,San Salvador,El Salvador,Office Supplies,Binders,entre 1 y 2,0.0,High,May,24.293333333333333
4667,Same Day,Corporate,Sydney,Australia,Office Supplies,Labels,entre 3 y 4,0.1,Critical,January,10.252285714285716
4668,Standard Class,Consumer,Perth,Australia,Technology,Copiers,entre 1 y 2,0.1,Medium,June,76.14
4669,Standard Class,Consumer,Ho Chi Minh City,Vietnam,Technology,Copiers,entre 3 y 4,0.37,Medium,December,64.8
4670,Standard Class,Corporate,Santo Domingo,Dominican Republic,Office Supplies,Envelopes,entre 9 y 10,0.2,High,June,15.37684210526316
4671,Standard Class,Consumer,Melbourne,Australia,Office Supplies,Paper,entre 5 y 6,0.1,Medium,February,14.825454545454546
4672,First Class,Consumer,Gold Coast,Australia,Office Supplies,Labels,entre 1 y 2,0.1,Critical,August,13.14
4673,Standard Class,Home Office,Lagos,Nigeria,Furniture,Furnishings,entre 1 y 2,0.7,High,September,44.448
4674,Standard Class,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Art,entre 3 y 4,0.2,Medium,September,25.124571428571432
4675,Standard Class,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Supplies,entre 3 y 4,0.2,High,September,20.379428571428573
4676,Standard Class,Consumer,Adelaide,Australia,Furniture,Chairs,entre 1 y 2,0.1,Medium,August,102.85199999999999
4677,First Class,Home Office,Vienna,Austria,Office Supplies,Paper,entre 1 y 2,0.0,Medium,August,35.02
4678,Standard Class,Consumer,Manila,Philippines,Technology,Accessories,entre 3 y 4,0.45,Medium,August,29.36057142857143
4679,Second Class,Consumer,Yangon,Myanmar (Burma),Furniture,Chairs,entre 1 y 2,0.27,High,March,40.7194
4680,Standard Class,Consumer,Managua,Nicaragua,Furniture,Furnishings,entre 3 y 4,0.0,Medium,November,32.417142857142856
4681,Second Class,Consumer,Managua,Nicaragua,Technology,Accessories,entre 1 y 2,0.0,High,May,73.76
4682,Same Day,Consumer,Madrid,Spain,Office Supplies,Art,entre 3 y 4,0.0,High,June,16.56
4683,Same Day,Consumer,Canberra,Australia,Technology,Accessories,entre 1 y 2,0.4,Medium,July,37.368
4684,Standard Class,Corporate,Perth,Australia,Furniture,Bookcases,entre 1 y 2,0.1,Medium,March,148.716
4685,Second Class,Consumer,London,United Kingdom,Office Supplies,Fasteners,entre 3 y 4,0.1,High,September,12.427714285714286
4686,Standard Class,Consumer,Canberra,Australia,Office Supplies,Binders,entre 5 y 6,0.0,High,May,14.890909090909092
4687,Second Class,Consumer,Perth,Australia,Office Supplies,Art,entre 5 y 6,0.1,Medium,April,17.142545454545456
4688,Second Class,Corporate,Adelaide,Australia,Office Supplies,Envelopes,entre 3 y 4,0.1,Medium,December,27.246857142857145
4689,First Class,Consumer,Gold Coast,Australia,Technology,Accessories,entre 1 y 2,0.4,High,June,32.736
4690,Standard Class,Home Office,Casablanca,Morocco,Office Supplies,Art,entre 5 y 6,0.0,Low,June,50.98909090909091
4691,Standard Class,Corporate,Manila,Philippines,Furniture,Chairs,entre 3 y 4,0.25,Medium,December,52.862142857142864
4692,Standard Class,Corporate,Gold Coast,Australia,Furniture,Furnishings,entre 3 y 4,0.4,Medium,April,29.149714285714285
4693,First Class,Home Office,Cairo,Egypt,Office Supplies,Art,entre 1 y 2,0.0,Critical,December,16.24
4694,First Class,Home Office,Madrid,Spain,Office Supplies,Supplies,entre 5 y 6,0.0,Medium,September,15.054545454545455
4695,Standard Class,Consumer,Paris,France,Office Supplies,Storage,entre 1 y 2,0.1,Medium,June,165.34799999999998
4696,Standard Class,Consumer,Berlin,Germany,Office Supplies,Paper,entre 3 y 4,0.1,Medium,May,21.985714285714288
4697,Standard Class,Consumer,Jakarta,Indonesia,Technology,Machines,entre 1 y 2,0.17,Medium,August,64.823
4698,Standard Class,Consumer,Lagos,Nigeria,Office Supplies,Supplies,entre 5 y 6,0.7,Low,November,13.647272727272728
4699,Standard Class,Home Office,Jakarta,Indonesia,Office Supplies,Storage,entre 3 y 4,0.17,Medium,June,22.17522857142857
4700,First Class,Home Office,Jakarta,Indonesia,Office Supplies,Supplies,entre 3 y 4,0.47,High,December,13.937485714285714
4701,Standard Class,Consumer,Cairo,Egypt,Furniture,Bookcases,entre 1 y 2,0.0,Medium,November,81.36
4702,Standard Class,Consumer,San Miguelito,Panama,Office Supplies,Appliances,entre 3 y 4,0.4,Medium,September,23.58514285714286
4703,Standard Class,Home Office,Gold Coast,Australia,Office Supplies,Art,entre 5 y 6,0.1,High,June,8.222727272727273
4704,Standard Class,Consumer,Ho Chi Minh City,Vietnam,Furniture,Furnishings,entre 3 y 4,0.27,High,September,16.744114285714286
4705,Standard Class,Consumer,Istanbul,Turkey,Furniture,Furnishings,entre 13 y14,0.6,Medium,December,17.447111111111113
4706,Standard Class,Home Office,Vienna,Austria,Office Supplies,Paper,entre 1 y 2,0.0,High,September,28.16
4707,Standard Class,Corporate,Buenos Aires,Argentina,Office Supplies,Art,entre 7 y 8,0.4,Medium,December,19.763199999999998
4708,Standard Class,Consumer,Villa Nueva,Guatemala,Furniture,Bookcases,entre 1 y 2,0.0,Medium,November,66.81333333333333
4709,Standard Class,Home Office,Yangon,Myanmar (Burma),Office Supplies,Appliances,entre 1 y 2,0.17,Medium,January,106.904
4710,Same Day,Corporate,Sydney,Australia,Office Supplies,Envelopes,entre 1 y 2,0.1,High,October,45.18
4711,Standard Class,Corporate,Brisbane,Australia,Furniture,Furnishings,entre 1 y 2,0.1,Medium,February,69.804
4712,Second Class,Corporate,Bangkok,Thailand,Technology,Copiers,entre 5 y 6,0.37,Medium,July,132.30687272727275
4713,Second Class,Corporate,Alexandria,Egypt,Furniture,Furnishings,entre 1 y 2,0.0,Critical,June,37.82
4714,Same Day,Home Office,Istanbul,Turkey,Office Supplies,Art,entre 1 y 2,0.6,Medium,June,23.84
4715,Standard Class,Consumer,Baghdad,Iraq,Office Supplies,Art,entre 1 y 2,0.0,High,October,33.0
4716,Standard Class,Consumer,Santo Domingo,Dominican Republic,Technology,Machines,entre 1 y 2,0.7,Medium,February,71.63199999999999
4717,Standard Class,Home Office,Tegucigalpa,Honduras,Office Supplies,Envelopes,entre 5 y 6,0.4,Medium,March,18.534545454545455
4718,Second Class,Corporate,São Paulo,Brazil,Technology,Accessories,entre 1 y 2,0.0,High,December,49.86666666666667
4719,Standard Class,Consumer,Jakarta,Indonesia,Technology,Accessories,entre 1 y 2,0.47,Medium,July,80.8356
4720,Standard Class,Home Office,Manila,Philippines,Furniture,Chairs,entre 1 y 2,0.25,Medium,December,90.06
4721,Standard Class,Consumer,Tegucigalpa,Honduras,Technology,Phones,entre 3 y 4,0.4,Medium,December,25.066285714285716
4722,Standard Class,Consumer,Buenos Aires,Argentina,Office Supplies,Storage,entre 3 y 4,0.4,Medium,June,21.147428571428573
4723,Standard Class,Consumer,London,United Kingdom,Office Supplies,Storage,entre 1 y 2,0.1,Medium,December,124.68599999999999
4724,Standard Class,Home Office,London,United Kingdom,Office Supplies,Art,entre 1 y 2,0.1,Medium,March,68.256
4725,Standard Class,Consumer,Brisbane,Australia,Technology,Phones,entre 1 y 2,0.1,Medium,October,54.774
4726,Second Class,Consumer,San Salvador,El Salvador,Office Supplies,Binders,entre 7 y 8,0.0,High,March,6.962666666666666
4727,First Class,Home Office,Villa Nueva,Guatemala,Technology,Accessories,entre 3 y 4,0.0,High,April,16.18285714285714
4728,Standard Class,Consumer,Melbourne,Australia,Office Supplies,Storage,entre 1 y 2,0.1,Medium,May,69.444
4729,Same Day,Consumer,Brisbane,Australia,Office Supplies,Paper,entre 1 y 2,0.1,Medium,October,37.476
