,Ship Mode,Segment,City,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
2145,Second Class,Corporate,San Francisco,Technology,Phones,entre 1 y 2,0.2,High,March,19.189333333333334
2146,Standard Class,Consumer,Philadelphia,Office Supplies,Art,entre 5 y 6,0.2,Medium,May,14.42909090909091
2147,Standard Class,Home Office,Seattle,Office Supplies,Binders,entre 3 y 4,0.2,Medium,July,24.678857142857144
2148,Second Class,Corporate,Houston,Office Supplies,Binders,entre 3 y 4,0.8,High,May,9.782857142857143
2149,Same Day,Home Office,Chicago,Office Supplies,Paper,entre 3 y 4,0.2,Critical,March,4.443428571428571
2150,Standard Class,Consumer,New York City,Furniture,Furnishings,entre 3 y 4,0.0,High,December,32.54857142857143
2151,Standard Class,Consumer,San Diego,Furniture,Furnishings,entre 3 y 4,0.0,High,November,10.457142857142857
2152,Second Class,Consumer,New York City,Office Supplies,Binders,entre 1 y 2,0.2,High,June,22.378666666666664
2153,Standard Class,Home Office,San Francisco,Office Supplies,Appliances,entre 5 y 6,0.0,Medium,September,10.299999999999999
2154,Second Class,Consumer,New York City,Technology,Accessories,entre 1 y 2,0.0,Medium,July,27.933333333333334
2155,Second Class,Corporate,Los Angeles,Technology,Accessories,entre 3 y 4,0.0,Medium,May,45.58857142857143
2156,First Class,Consumer,Philadelphia,Furniture,Furnishings,entre 5 y 6,0.2,High,July,4.6080000000000005
2157,Standard Class,Consumer,Houston,Office Supplies,Art,entre 3 y 4,0.2,Medium,November,19.302857142857142
2158,Standard Class,Consumer,Los Angeles,Office Supplies,Paper,entre 3 y 4,0.0,Medium,November,33.222857142857144
2159,Standard Class,Consumer,San Francisco,Office Supplies,Binders,entre 3 y 4,0.2,High,August,13.268571428571429
2160,Standard Class,Corporate,Los Angeles,Furniture,Furnishings,entre 1 y 2,0.0,Low,April,25.12
2161,Standard Class,Consumer,San Francisco,Office Supplies,Supplies,entre 1 y 2,0.0,High,May,23.373333333333335
2162,Standard Class,Consumer,Seattle,Office Supplies,Storage,entre 3 y 4,0.0,Medium,August,13.354285714285714
2163,Standard Class,Consumer,Philadelphia,Technology,Phones,entre 3 y 4,0.4,Medium,November,27.12
2164,Standard Class,Home Office,Chicago,Office Supplies,Paper,entre 9 y 10,0.2,Medium,September,7.685052631578947
2165,Standard Class,Consumer,Philadelphia,Office Supplies,Appliances,entre 1 y 2,0.2,High,December,23.104
2166,Second Class,Consumer,San Francisco,Office Supplies,Storage,entre 3 y 4,0.0,High,July,15.348571428571429
2167,Standard Class,Corporate,Seattle,Office Supplies,Paper,entre 1 y 2,0.0,Low,December,31.933333333333334
2168,Standard Class,Corporate,Dallas,Furniture,Furnishings,entre 3 y 4,0.6,Medium,October,20.794285714285714
2169,Standard Class,Home Office,San Francisco,Office Supplies,Binders,entre 5 y 6,0.2,High,October,7.258181818181819
2170,Standard Class,Corporate,Springfield,Office Supplies,Storage,entre 5 y 6,0.0,Medium,September,12.345454545454546
2171,Standard Class,Corporate,San Diego,Technology,Phones,entre 5 y 6,0.2,Medium,July,13.082181818181818
2172,Same Day,Home Office,Chicago,Office Supplies,Art,entre 3 y 4,0.2,Critical,March,5.558857142857143
2173,Standard Class,Consumer,New York City,Furniture,Furnishings,entre 3 y 4,0.0,Medium,September,27.84
2174,Standard Class,Consumer,Columbus,Office Supplies,Paper,entre 7 y 8,0.0,Medium,November,8.502666666666666
2175,Second Class,Consumer,New York City,Furniture,Chairs,entre 3 y 4,0.1,Medium,December,47.041714285714285
2176,Second Class,Consumer,New York City,Technology,Accessories,entre 7 y 8,0.0,Medium,March,9.546666666666665
2177,Standard Class,Home Office,Houston,Office Supplies,Supplies,entre 9 y 10,0.2,Medium,September,7.275789473684211
2178,Standard Class,Consumer,San Francisco,Technology,Phones,entre 3 y 4,0.2,Medium,July,31.536
2179,Second Class,Home Office,San Francisco,Office Supplies,Art,entre 3 y 4,0.0,High,October,25.12
2180,Standard Class,Home Office,Los Angeles,Technology,Accessories,entre 1 y 2,0.0,Medium,May,53.32666666666666
2181,Standard Class,Consumer,Springfield,Office Supplies,Art,entre 7 y 8,0.2,Medium,November,6.802133333333333
2182,Standard Class,Consumer,Philadelphia,Furniture,Furnishings,entre 9 y 10,0.2,Medium,September,6.131368421052631
2183,Second Class,Consumer,New York City,Office Supplies,Paper,entre 1 y 2,0.0,High,March,17.586666666666666
2184,Standard Class,Consumer,San Diego,Office Supplies,Storage,entre 11 y 12,0.0,Medium,June,7.283478260869566
2185,Same Day,Consumer,San Francisco,Office Supplies,Supplies,entre 3 y 4,0.0,High,August,9.120000000000001
2186,Standard Class,Consumer,New York City,Furniture,Chairs,entre 1 y 2,0.1,Medium,May,85.176
2187,First Class,Corporate,Dallas,Technology,Accessories,entre 1 y 2,0.2,High,October,26.656000000000002
2188,Standard Class,Home Office,San Francisco,Office Supplies,Appliances,entre 5 y 6,0.0,Medium,January,15.883636363636363
2189,Same Day,Consumer,New York City,Office Supplies,Paper,entre 3 y 4,0.0,High,August,7.405714285714287
2190,Standard Class,Consumer,San Francisco,Office Supplies,Binders,entre 7 y 8,0.2,Medium,November,16.4192
2191,Standard Class,Consumer,New York City,Office Supplies,Labels,entre 3 y 4,0.0,Medium,March,26.16857142857143
2192,Standard Class,Consumer,Philadelphia,Technology,Accessories,entre 1 y 2,0.2,High,March,26.66133333333333
2193,Same Day,Consumer,New York City,Office Supplies,Labels,entre 5 y 6,0.0,Critical,September,2.618181818181818
2194,Standard Class,Corporate,New York City,Office Supplies,Paper,entre 1 y 2,0.0,Low,October,25.293333333333333
2195,Standard Class,Corporate,New York City,Furniture,Furnishings,entre 3 y 4,0.0,Low,October,23.502857142857145
2196,Standard Class,Corporate,Seattle,Office Supplies,Paper,entre 7 y 8,0.0,Medium,October,12.245333333333333
2197,First Class,Corporate,Chicago,Office Supplies,Paper,entre 3 y 4,0.2,Critical,September,5.074285714285715
2198,Second Class,Corporate,Dallas,Office Supplies,Supplies,entre 3 y 4,0.2,Critical,June,6.788571428571429
2199,Standard Class,Consumer,Philadelphia,Office Supplies,Paper,entre 7 y 8,0.2,High,June,5.5296
2200,Standard Class,Home Office,San Diego,Office Supplies,Binders,entre 13 y14,0.2,High,December,4.811851851851851
2201,First Class,Corporate,Seattle,Office Supplies,Binders,entre 3 y 4,0.2,High,September,7.152
2202,Standard Class,Home Office,Los Angeles,Technology,Accessories,entre 3 y 4,0.0,Medium,November,30.84857142857143
2203,First Class,Consumer,Houston,Office Supplies,Paper,entre 7 y 8,0.2,Critical,October,4.838399999999999
2204,Second Class,Corporate,Los Angeles,Office Supplies,Paper,entre 5 y 6,0.0,Medium,September,7.581818181818182
2205,Second Class,Consumer,San Diego,Office Supplies,Storage,entre 3 y 4,0.0,Medium,November,24.240000000000002
2206,Standard Class,Corporate,Seattle,Technology,Phones,entre 5 y 6,0.2,Medium,January,15.700363636363637
2207,Second Class,Corporate,Los Angeles,Technology,Phones,entre 1 y 2,0.2,Medium,June,79.97333333333333
2208,Standard Class,Corporate,Springfield,Office Supplies,Labels,entre 5 y 6,0.0,Medium,May,11.290909090909091
2209,Second Class,Consumer,Seattle,Office Supplies,Storage,entre 1 y 2,0.0,Medium,July,46.346666666666664
2210,Second Class,Consumer,Los Angeles,Office Supplies,Paper,entre 9 y 10,0.0,Medium,September,5.002105263157895
2211,Standard Class,Consumer,Chicago,Furniture,Furnishings,entre 3 y 4,0.6,Low,December,11.136
2212,Standard Class,Corporate,Philadelphia,Technology,Accessories,entre 3 y 4,0.2,Medium,September,27.39428571428571
2213,Same Day,Consumer,Houston,Office Supplies,Storage,entre 11 y 12,0.2,Medium,July,24.471652173913043
2214,Standard Class,Home Office,Philadelphia,Technology,Accessories,entre 1 y 2,0.2,Medium,November,48.0
2215,First Class,Consumer,New York City,Office Supplies,Paper,entre 1 y 2,0.0,High,October,16.37333333333333
2216,Second Class,Consumer,Philadelphia,Office Supplies,Binders,entre 1 y 2,0.7,Critical,January,12.392000000000001
2217,First Class,Consumer,San Francisco,Furniture,Furnishings,entre 7 y 8,0.0,Medium,November,5.105333333333333
2218,Standard Class,Home Office,Seattle,Technology,Phones,entre 1 y 2,0.2,Medium,September,70.38933333333334
2219,Standard Class,Corporate,Dallas,Office Supplies,Storage,entre 9 y 10,0.2,Medium,October,11.309473684210525
2220,First Class,Home Office,Philadelphia,Office Supplies,Labels,entre 9 y 10,0.2,High,September,2.190315789473684
2221,First Class,Consumer,Los Angeles,Office Supplies,Art,entre 7 y 8,0.0,Medium,May,6.6080000000000005
2222,Second Class,Consumer,Los Angeles,Technology,Accessories,entre 3 y 4,0.0,Medium,January,25.877142857142854
2223,Standard Class,Corporate,Philadelphia,Office Supplies,Storage,entre 5 y 6,0.2,High,October,10.856727272727273
2224,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 11 y 12,0.2,Medium,November,4.545391304347826
2225,Standard Class,Corporate,New York City,Office Supplies,Paper,entre 9 y 10,0.0,Medium,December,6.612631578947369
2226,First Class,Consumer,San Francisco,Office Supplies,Storage,entre 1 y 2,0.0,Critical,October,17.973333333333333
2227,Standard Class,Corporate,New York City,Office Supplies,Paper,entre 3 y 4,0.0,Medium,June,12.959999999999999
2228,Same Day,Consumer,Seattle,Office Supplies,Paper,entre 3 y 4,0.0,High,September,5.554285714285714
2229,Second Class,Corporate,Chicago,Technology,Phones,entre 1 y 2,0.2,Medium,March,33.077333333333335
2230,Standard Class,Corporate,New York City,Furniture,Furnishings,entre 5 y 6,0.0,Medium,December,10.972727272727273
2231,Second Class,Corporate,New York City,Furniture,Furnishings,entre 3 y 4,0.0,Medium,August,25.148571428571426
2232,First Class,Consumer,San Francisco,Office Supplies,Envelopes,entre 1 y 2,0.0,High,July,29.30666666666667
2233,Standard Class,Consumer,Houston,Office Supplies,Paper,entre 7 y 8,0.2,Medium,May,17.053866666666668
2234,Standard Class,Consumer,Chicago,Technology,Accessories,entre 11 y 12,0.2,Medium,September,13.376000000000001
2235,Second Class,Consumer,New York City,Furniture,Furnishings,entre 1 y 2,0.0,High,April,19.853333333333335
2236,Same Day,Corporate,Los Angeles,Office Supplies,Binders,entre 1 y 2,0.2,High,December,46.304
2237,Standard Class,Consumer,Los Angeles,Office Supplies,Envelopes,entre 3 y 4,0.0,Medium,June,53.339999999999996
2238,Standard Class,Consumer,Philadelphia,Technology,Accessories,entre 5 y 6,0.2,Medium,November,9.374545454545455
2239,Second Class,Consumer,Columbus,Office Supplies,Fasteners,entre 13 y14,0.2,High,August,2.970074074074074
2240,First Class,Consumer,Columbus,Furniture,Chairs,entre 1 y 2,0.3,High,September,66.248
2241,Standard Class,Consumer,Seattle,Office Supplies,Binders,entre 7 y 8,0.2,Medium,December,6.2943999999999996
2242,First Class,Consumer,Los Angeles,Office Supplies,Supplies,entre 1 y 2,0.0,Medium,November,13.64
2243,First Class,Corporate,San Francisco,Technology,Accessories,entre 1 y 2,0.0,High,August,24.34
2244,Second Class,Consumer,Houston,Office Supplies,Binders,entre 5 y 6,0.8,High,November,3.998181818181818
2245,First Class,Home Office,San Diego,Office Supplies,Paper,entre 3 y 4,0.0,Critical,September,5.554285714285714
2246,Standard Class,Consumer,San Diego,Office Supplies,Paper,entre 1 y 2,0.0,High,September,54.653333333333336
2247,Standard Class,Consumer,Seattle,Office Supplies,Binders,entre 3 y 4,0.2,Medium,October,25.357714285714284
2248,Standard Class,Consumer,Springfield,Office Supplies,Appliances,entre 1 y 2,0.2,High,April,23.471999999999998
2249,Standard Class,Consumer,San Francisco,Office Supplies,Labels,entre 5 y 6,0.0,Medium,October,7.974545454545455
2250,First Class,Consumer,New York City,Office Supplies,Labels,entre 3 y 4,0.0,High,May,16.914285714285715
2251,Standard Class,Consumer,Houston,Office Supplies,Art,entre 9 y 10,0.2,High,April,4.426105263157895
2252,Second Class,Corporate,Springfield,Office Supplies,Appliances,entre 3 y 4,0.2,High,January,18.53257142857143
2253,Second Class,Consumer,Seattle,Office Supplies,Labels,entre 7 y 8,0.0,Medium,July,11.694666666666667
2254,Standard Class,Corporate,Los Angeles,Office Supplies,Paper,entre 5 y 6,0.0,High,December,7.069090909090909
2255,Standard Class,Corporate,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Medium,November,15.716571428571429
2256,Same Day,Consumer,New York City,Office Supplies,Envelopes,entre 3 y 4,0.0,Critical,March,8.382857142857143
2257,Standard Class,Corporate,Springfield,Furniture,Bookcases,entre 1 y 2,0.7,Medium,September,48.391999999999996
2258,Standard Class,Consumer,Seattle,Office Supplies,Storage,entre 3 y 4,0.0,Medium,September,16.55142857142857
2259,Second Class,Consumer,San Diego,Technology,Accessories,entre 3 y 4,0.0,High,March,15.214285714285714
2260,Standard Class,Consumer,New York City,Technology,Accessories,entre 1 y 2,0.0,Medium,September,48.32
2261,Standard Class,Home Office,Los Angeles,Office Supplies,Art,entre 1 y 2,0.0,Medium,December,37.53333333333333
2262,Standard Class,Consumer,Houston,Office Supplies,Appliances,entre 5 y 6,0.8,Medium,November,12.334545454545456
2263,Standard Class,Consumer,Philadelphia,Office Supplies,Binders,entre 1 y 2,0.7,High,November,33.998
2264,Standard Class,Home Office,Houston,Office Supplies,Appliances,entre 3 y 4,0.8,Medium,September,17.94
2265,Standard Class,Corporate,Houston,Technology,Accessories,entre 3 y 4,0.2,Medium,November,22.717714285714287
2266,Standard Class,Consumer,Columbus,Office Supplies,Binders,entre 1 y 2,0.0,Low,May,28.939999999999998
2267,Standard Class,Consumer,Columbus,Technology,Phones,entre 3 y 4,0.0,Medium,November,14.562857142857142
2268,Second Class,Consumer,Houston,Furniture,Chairs,entre 1 y 2,0.3,Medium,October,37.79066666666667
2269,Standard Class,Consumer,Los Angeles,Office Supplies,Paper,entre 3 y 4,0.0,Medium,November,41.92285714285714
2270,Standard Class,Corporate,New York City,Furniture,Chairs,entre 1 y 2,0.1,Medium,April,85.176
2271,Standard Class,Consumer,Seattle,Office Supplies,Storage,entre 1 y 2,0.0,Medium,October,54.63999999999999
2272,Standard Class,Consumer,San Francisco,Office Supplies,Storage,entre 3 y 4,0.0,Medium,May,29.794285714285714
2273,First Class,Consumer,Philadelphia,Office Supplies,Appliances,entre 1 y 2,0.2,High,January,22.922666666666668
2274,Second Class,Consumer,New York City,Furniture,Furnishings,entre 5 y 6,0.0,Medium,September,20.89090909090909
2275,Standard Class,Consumer,Columbus,Office Supplies,Paper,entre 3 y 4,0.0,Medium,December,14.034285714285714
2276,Standard Class,Consumer,Los Angeles,Office Supplies,Storage,entre 3 y 4,0.0,Medium,December,21.41142857142857
2277,First Class,Consumer,Los Angeles,Office Supplies,Supplies,entre 7 y 8,0.0,High,December,3.4346666666666668
2278,Standard Class,Home Office,Los Angeles,Office Supplies,Paper,entre 5 y 6,0.0,Medium,June,18.163636363636364
2279,Standard Class,Consumer,Los Angeles,Office Supplies,Paper,entre 5 y 6,0.0,High,June,7.069090909090909
2280,Same Day,Corporate,Los Angeles,Office Supplies,Fasteners,entre 5 y 6,0.0,Critical,June,3.2545454545454544
2281,Standard Class,Consumer,Philadelphia,Technology,Phones,entre 1 y 2,0.4,Medium,May,36.792
2282,Same Day,Consumer,New York City,Office Supplies,Paper,entre 1 y 2,0.0,High,September,12.506666666666668
2283,Standard Class,Corporate,Philadelphia,Furniture,Furnishings,entre 1 y 2,0.2,Medium,December,36.512
2284,Second Class,Corporate,Houston,Office Supplies,Paper,entre 9 y 10,0.2,High,December,3.2437894736842106
2285,Standard Class,Consumer,Los Angeles,Furniture,Chairs,entre 5 y 6,0.2,Medium,February,37.07636363636363
2286,Standard Class,Corporate,Dallas,Technology,Phones,entre 5 y 6,0.2,Medium,September,10.901818181818182
2287,Standard Class,Consumer,Los Angeles,Furniture,Furnishings,entre 1 y 2,0.0,Medium,February,57.50666666666667
2288,Standard Class,Corporate,New York City,Technology,Phones,entre 5 y 6,0.0,Medium,February,41.35636363636364
2289,First Class,Corporate,Houston,Office Supplies,Storage,entre 3 y 4,0.2,Medium,December,7.782857142857142
2290,Second Class,Consumer,San Francisco,Technology,Accessories,entre 1 y 2,0.0,Medium,May,66.66
2291,Second Class,Consumer,San Francisco,Office Supplies,Storage,entre 3 y 4,0.0,High,December,9.728571428571428
2292,Standard Class,Consumer,San Francisco,Furniture,Furnishings,entre 3 y 4,0.0,Medium,December,16.62857142857143
2293,Second Class,Consumer,Los Angeles,Technology,Accessories,entre 1 y 2,0.0,Medium,December,33.333333333333336
2294,Standard Class,Consumer,Los Angeles,Technology,Phones,entre 9 y 10,0.2,Medium,October,8.41263157894737
2295,Standard Class,Consumer,Seattle,Office Supplies,Binders,entre 1 y 2,0.2,High,November,18.453333333333333
2296,First Class,Consumer,Los Angeles,Technology,Accessories,entre 1 y 2,0.0,High,May,44.17333333333334
2297,First Class,Corporate,Houston,Office Supplies,Binders,entre 3 y 4,0.8,High,November,7.441714285714285
2298,Standard Class,Consumer,Los Angeles,Office Supplies,Binders,entre 3 y 4,0.2,Medium,June,25.357714285714284
2299,Standard Class,Consumer,New York City,Technology,Accessories,entre 1 y 2,0.0,Medium,April,66.39999999999999
2300,Standard Class,Consumer,San Francisco,Office Supplies,Paper,entre 1 y 2,0.0,Medium,December,37.32
2301,Standard Class,Corporate,Seattle,Technology,Accessories,entre 5 y 6,0.0,Medium,May,17.847272727272728
2302,Standard Class,Corporate,Los Angeles,Technology,Phones,entre 1 y 2,0.2,Low,August,21.322666666666667
2303,Standard Class,Home Office,Los Angeles,Office Supplies,Paper,entre 5 y 6,0.0,Medium,January,10.30909090909091
2304,Standard Class,Consumer,Chicago,Office Supplies,Storage,entre 1 y 2,0.2,High,December,23.445333333333334
2305,First Class,Corporate,Philadelphia,Furniture,Furnishings,entre 1 y 2,0.2,Medium,April,34.64533333333333
2306,Standard Class,Consumer,Columbus,Office Supplies,Storage,entre 5 y 6,0.2,High,July,11.28
2307,Standard Class,Consumer,New York City,Furniture,Furnishings,entre 1 y 2,0.0,Medium,June,37.973333333333336
2308,Standard Class,Consumer,Dallas,Furniture,Furnishings,entre 5 y 6,0.6,Medium,November,8.083636363636364
2309,Standard Class,Consumer,Columbus,Furniture,Furnishings,entre 3 y 4,0.0,High,January,17.919999999999998
2310,Standard Class,Corporate,Seattle,Office Supplies,Appliances,entre 1 y 2,0.0,Medium,February,54.63999999999999
2311,Second Class,Consumer,Philadelphia,Technology,Accessories,entre 1 y 2,0.2,High,December,31.989333333333335
2312,Standard Class,Corporate,San Diego,Furniture,Chairs,entre 3 y 4,0.2,Medium,April,18.26742857142857
2313,Same Day,Consumer,Seattle,Office Supplies,Paper,entre 1 y 2,0.0,High,September,32.626666666666665
2314,Standard Class,Corporate,San Francisco,Office Supplies,Storage,entre 3 y 4,0.0,Low,September,8.982857142857144
2315,First Class,Home Office,New York City,Office Supplies,Binders,entre 5 y 6,0.2,High,August,6.728727272727273
2316,Standard Class,Corporate,Philadelphia,Technology,Accessories,entre 1 y 2,0.2,Low,August,31.989333333333335
2317,Standard Class,Corporate,San Francisco,Office Supplies,Storage,entre 1 y 2,0.0,Medium,August,53.98666666666667
2318,Second Class,Consumer,Houston,Office Supplies,Paper,entre 7 y 8,0.2,Medium,October,6.802133333333333
2319,Standard Class,Corporate,New York City,Technology,Phones,entre 3 y 4,0.0,Medium,October,25.085714285714285
2320,Standard Class,Consumer,New York City,Office Supplies,Paper,entre 9 y 10,0.0,Medium,January,6.328421052631579
2321,Standard Class,Home Office,Chicago,Technology,Accessories,entre 1 y 2,0.2,High,December,16.992
2322,Standard Class,Corporate,New York City,Office Supplies,Fasteners,entre 5 y 6,0.0,Low,February,6.632727272727272
2323,Standard Class,Home Office,Springfield,Office Supplies,Art,entre 3 y 4,0.0,Medium,October,13.200000000000001
2324,Standard Class,Consumer,Philadelphia,Technology,Accessories,entre 3 y 4,0.2,High,June,24.678857142857144
2325,Standard Class,Home Office,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Medium,April,23.526857142857143
2326,Second Class,Consumer,Philadelphia,Office Supplies,Paper,entre 5 y 6,0.2,Medium,March,7.278545454545454
2327,Second Class,Consumer,Los Angeles,Office Supplies,Binders,entre 5 y 6,0.2,Medium,February,7.585454545454545
2328,Standard Class,Consumer,Seattle,Furniture,Furnishings,entre 7 y 8,0.0,Medium,April,18.610666666666667
2329,Second Class,Consumer,Springfield,Office Supplies,Appliances,entre 3 y 4,0.0,Medium,September,9.711428571428572
2330,Standard Class,Consumer,Los Angeles,Office Supplies,Paper,entre 1 y 2,0.0,Medium,August,73.97333333333333
2331,Second Class,Consumer,New York City,Office Supplies,Storage,entre 3 y 4,0.0,Medium,December,9.120000000000001
2332,First Class,Consumer,San Francisco,Furniture,Furnishings,entre 5 y 6,0.0,High,July,4.618181818181818
2333,Second Class,Consumer,Seattle,Office Supplies,Art,entre 1 y 2,0.0,Medium,September,23.973333333333333
2334,Standard Class,Home Office,Chicago,Furniture,Furnishings,entre 3 y 4,0.6,High,June,6.850285714285714
2335,Standard Class,Consumer,Los Angeles,Office Supplies,Binders,entre 11 y 12,0.2,Medium,November,3.7899130434782613
2336,Same Day,Home Office,San Francisco,Technology,Accessories,entre 1 y 2,0.0,Critical,November,11.299999999999999
2337,Second Class,Corporate,New York City,Furniture,Furnishings,entre 1 y 2,0.0,Medium,January,30.653333333333332
2338,Second Class,Corporate,New York City,Furniture,Bookcases,entre 1 y 2,0.2,Medium,September,30.922666666666668
2339,Second Class,Home Office,Springfield,Office Supplies,Binders,entre 7 y 8,0.0,Medium,May,5.758666666666667
2340,Second Class,Home Office,Seattle,Office Supplies,Storage,entre 3 y 4,0.0,Medium,April,11.64
2341,Standard Class,Consumer,Columbus,Office Supplies,Envelopes,entre 5 y 6,0.0,Medium,August,12.741818181818182
2342,First Class,Consumer,San Francisco,Furniture,Furnishings,entre 7 y 8,0.0,High,August,4.928
2343,First Class,Consumer,Los Angeles,Office Supplies,Art,entre 5 y 6,0.0,Critical,September,18.036363636363635
2344,Second Class,Consumer,Houston,Office Supplies,Binders,entre 3 y 4,0.8,Critical,May,5.211428571428571
2345,Standard Class,Consumer,Chicago,Office Supplies,Paper,entre 5 y 6,0.2,High,August,4.6080000000000005
2346,Standard Class,Consumer,Philadelphia,Office Supplies,Labels,entre 5 y 6,0.2,High,September,5.316363636363636
2347,First Class,Home Office,New York City,Office Supplies,Paper,entre 1 y 2,0.0,Critical,May,25.293333333333333
2348,First Class,Consumer,Columbus,Technology,Accessories,entre 3 y 4,0.0,High,December,28.397142857142857
2349,First Class,Consumer,San Francisco,Office Supplies,Binders,entre 3 y 4,0.2,Critical,July,3.12
2350,First Class,Consumer,Chicago,Office Supplies,Binders,entre 5 y 6,0.8,High,May,3.174545454545455
2351,First Class,Consumer,New York City,Furniture,Furnishings,entre 3 y 4,0.0,Medium,August,13.44
2352,Second Class,Consumer,Springfield,Office Supplies,Envelopes,entre 5 y 6,0.0,High,April,5.163636363636363
2353,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 5 y 6,0.2,Medium,September,11.018181818181818
2354,Standard Class,Consumer,Los Angeles,Furniture,Furnishings,entre 3 y 4,0.0,Medium,August,13.44
2355,Second Class,Corporate,Los Angeles,Furniture,Tables,entre 1 y 2,0.2,Medium,June,47.391999999999996
2356,Standard Class,Home Office,Springfield,Office Supplies,Labels,entre 5 y 6,0.2,Medium,June,12.916363636363638
2357,Standard Class,Consumer,Chicago,Office Supplies,Storage,entre 1 y 2,0.2,Medium,December,41.04533333333333
2358,Standard Class,Consumer,San Diego,Office Supplies,Art,entre 9 y 10,0.0,Medium,December,12.647368421052633
2359,Standard Class,Home Office,Los Angeles,Furniture,Furnishings,entre 3 y 4,0.0,High,November,12.171428571428573
2360,Standard Class,Consumer,San Diego,Office Supplies,Paper,entre 7 y 8,0.0,Low,November,8.298666666666668
2361,Standard Class,Corporate,Springfield,Office Supplies,Paper,entre 7 y 8,0.0,Medium,December,11.461333333333332
2362,Standard Class,Corporate,Seattle,Technology,Accessories,entre 1 y 2,0.0,Medium,April,22.599999999999998
2363,First Class,Consumer,New York City,Furniture,Furnishings,entre 1 y 2,0.0,Medium,December,27.973333333333333
2364,Standard Class,Consumer,Seattle,Office Supplies,Binders,entre 7 y 8,0.2,High,September,5.7568
2365,Standard Class,Corporate,San Francisco,Office Supplies,Paper,entre 1 y 2,0.0,High,September,51.68
2366,Standard Class,Consumer,San Francisco,Office Supplies,Art,entre 1 y 2,0.0,Medium,August,30.653333333333332
2367,Standard Class,Home Office,New York City,Furniture,Furnishings,entre 9 y 10,0.0,Medium,November,5.949473684210527
2368,Standard Class,Consumer,Houston,Furniture,Furnishings,entre 5 y 6,0.6,Medium,November,11.81090909090909
2369,Standard Class,Home Office,Philadelphia,Office Supplies,Paper,entre 5 y 6,0.2,High,June,4.712727272727273
2370,Standard Class,Consumer,San Francisco,Office Supplies,Binders,entre 3 y 4,0.2,Medium,October,11.321142857142858
2371,Standard Class,Corporate,Houston,Office Supplies,Paper,entre 7 y 8,0.2,High,September,4.2496
2372,Standard Class,Corporate,New York City,Technology,Accessories,entre 1 y 2,0.0,Medium,November,39.93333333333333
2373,Standard Class,Corporate,New York City,Technology,Accessories,entre 5 y 6,0.0,Medium,September,16.363636363636363
2374,Standard Class,Home Office,Seattle,Office Supplies,Binders,entre 3 y 4,0.2,High,January,7.981714285714285
2375,Standard Class,Consumer,San Diego,Office Supplies,Paper,entre 5 y 6,0.0,High,November,5.890909090909091
2376,Second Class,Consumer,Houston,Furniture,Furnishings,entre 1 y 2,0.6,High,June,21.808000000000003
2377,Standard Class,Consumer,Seattle,Office Supplies,Binders,entre 5 y 6,0.2,Medium,August,18.30981818181818
2378,First Class,Consumer,New York City,Office Supplies,Binders,entre 3 y 4,0.2,High,November,4.918857142857143
2379,Second Class,Consumer,New York City,Technology,Phones,entre 5 y 6,0.0,Medium,March,21.763636363636365
2380,Second Class,Consumer,Los Angeles,Office Supplies,Paper,entre 3 y 4,0.0,High,January,5.554285714285714
2381,Standard Class,Corporate,New York City,Office Supplies,Paper,entre 11 y 12,0.0,Medium,July,5.72
2382,Same Day,Corporate,Columbus,Office Supplies,Supplies,entre 1 y 2,0.2,Critical,December,9.013333333333334
2383,Second Class,Corporate,Los Angeles,Office Supplies,Binders,entre 1 y 2,0.2,Medium,August,33.04533333333333
2384,Second Class,Consumer,Los Angeles,Office Supplies,Fasteners,entre 5 y 6,0.0,High,July,3.9054545454545457
2385,Standard Class,Consumer,Dallas,Technology,Accessories,entre 3 y 4,0.2,Medium,April,13.70742857142857
2386,Standard Class,Corporate,Los Angeles,Furniture,Furnishings,entre 7 y 8,0.0,Medium,April,4.414666666666666
2387,Second Class,Home Office,San Francisco,Office Supplies,Paper,entre 1 y 2,0.0,Medium,April,32.60666666666666
2388,First Class,Consumer,Philadelphia,Office Supplies,Storage,entre 3 y 4,0.2,Medium,November,11.227428571428572
2389,Standard Class,Consumer,New York City,Office Supplies,Art,entre 9 y 10,0.0,High,August,4.035789473684211
2390,Standard Class,Corporate,Chicago,Office Supplies,Binders,entre 7 y 8,0.8,High,April,5.979733333333333
2391,First Class,Corporate,San Diego,Office Supplies,Labels,entre 3 y 4,0.0,High,September,5.3999999999999995
2392,Standard Class,Corporate,New York City,Office Supplies,Paper,entre 3 y 4,0.0,Medium,December,9.72
2393,Second Class,Corporate,Los Angeles,Technology,Accessories,entre 1 y 2,0.0,Critical,January,11.06
2394,Standard Class,Corporate,Los Angeles,Office Supplies,Storage,entre 1 y 2,0.0,Medium,July,51.919999999999995
2395,First Class,Home Office,New York City,Technology,Phones,entre 1 y 2,0.0,High,October,35.32666666666667
2396,First Class,Corporate,Los Angeles,Office Supplies,Storage,entre 1 y 2,0.0,Critical,September,10.34
